Sample.date,sampling.week,sampling.week.end,treatment,Heated,Invasion,Mesocosm,rep,A_TotalAlgae,A_Green,A_Cyanobacteria,A_Chromophytes,A_Cryptophytes
15/06/21,56,57,C,N,N,13,3,5.6,4,0.71,0.88,0.006666667
15/06/21,56,57,C,N,N,17,4,160.4,160.4,0,0,0
15/06/21,56,57,C,N,N,21,5,4.36,3.1,0.15,0.85,0.26
15/06/21,56,57,C,N,N,24,6,10.67,8.62,1.26,0.79,0
22/06/21,57,58,C,N,N,2,1,36.87,21.88,5.8,9.19,0
22/06/21,57,58,C,N,N,7,2,5.77,2.8,1.73,1.24,0
22/06/21,57,58,C,N,N,13,3,2.6,1.55,0.63,0.42,0
22/06/21,57,58,C,N,N,17,4,153,153,0,0,0
22/06/21,57,58,C,N,N,21,5,1.13,0,0.6,0.5,0.023333333
22/06/21,57,58,C,N,N,24,6,3.13,1.03,1.32,0.79,0
29/06/21,58,59,C,N,N,2,1,45.38,30.22,9.17,5.99,0
29/06/21,58,59,C,N,N,7,2,12.95,9.2,0.38,3.38,0
29/06/21,58,59,C,N,N,13,3,1.79,0.96,0.44,0.38,0
29/06/21,58,59,C,N,N,17,4,154.25,154.25,0,0,0
29/06/21,58,59,C,N,N,21,5,0.43,0,0.4,0,0.03
29/06/21,58,59,C,N,N,24,6,2.78,0.87,1.13,0.78,0.006666667
6/07/21,59,60,C,N,N,2,1,41.48,29.52,6.48,5.48,0
6/07/21,59,60,C,N,N,7,2,11.14,7.5,0,3.64,0
6/07/21,59,60,C,N,N,13,3,1.17,0.34,0.47,0.35,0
6/07/21,59,60,C,N,N,17,4,112.71,112.71,0,0,0
6/07/21,59,60,C,N,N,21,5,0.88,0,0.53,0.26,0.076666667
6/07/21,59,60,C,N,N,24,6,1.93,0,0.98,0.63,0.313333333
13/07/21,60,61,C,N,N,2,1,41.26,29.18,5.09,6.99,0
13/07/21,60,61,C,N,N,7,2,2.34,0.98,0.7,0.65,0
13/07/21,60,61,C,N,N,13,3,0.85,0.04,0.4,0.41,0
13/07/21,60,61,C,N,N,17,4,77.24,77.24,0,0,0
13/07/21,60,61,C,N,N,21,5,0.61,0,0.61,0,0
13/07/21,60,61,C,N,N,24,6,1.82,0,0.93,0.32,0.566666667
